video;codec;resolution;width;bitrate [kb/s];nic;userDevice;cpu_model;encoded_segment_size [B];decoding_duration[s];average_cpu_utilization [%];energy_decode [wh];emission_decode_Austria_CI_157 [g];energy_NIC_LTE_TH_16_Mb/s [kWh];emission_NIC_LTE_TH_16_Austria_CI_157_[g];energy_NIC_LTE_TH_20_Mb/s [kWh];emission_NIC_LTE_TH_20_Austria_CI_157 [g];energy_NIC_LTE_TH_42_Mb/s [kWh];emission_NIC_LTE_TH_42_Austria_CI_157 [g];energy_NIC_LTE_TH_60_Mb/s [kWh];emission_NIC_LTE_TH_60_Austria_CI_157 [g]
AncientThought_s007;HEVC;720p;1280;3400;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;2048433.0;0.89;6.875000000000001;1.6996527777775e-05;0.0026684548611106;1.6019108590391217e-06;0.0002515000048691;1.3397662234666667e-06;0.0002103432970842;6.448748879015873e-07;0.0001012453574005;4.553590691111112e-07;7.149137385044447e-05
AncientThought_s007;HEVC;1080p;1920;5800;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;3536212.0;2.08;7.375;4.261111111110625e-05;0.0066899444444436;2.765380367658816e-06;0.0004341647177224;2.3128398129777777e-06;0.0003631158506375;1.1132481839026455e-06;0.0001747799648727;7.860868305185185e-07;0.0001234156323914
AncientThought_s007;HEVC;1440p;2560;8100;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;4989997.0;3.1;8.125;6.9965277777775e-05;0.0109845486111106;3.902265966654824e-06;0.0006126557567648;3.2636798156444446e-06;0.0005123977310561;1.5709197010613757e-06;0.0002466343930666;1.1092578516296297e-06;0.0001741534827058
AncientThought_s007;HEVC;2160p;3840;16800;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;10547841.0;6.86;7.6875;0.0001464895833333;0.0229988645833281;8.24859833703034e-06;0.0012950299389137;6.898756806933333e-06;0.0010831048186885;3.320605449374603e-06;0.0005213350555518;2.344745988222222e-06;0.0003681251201508
AncientThought_s008;HEVC;360p;640;145;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;84927.0;0.22;5.8125;3.552083333333333e-06;0.0005576770833333;6.641441703273453e-08;1.0427063474139322e-05;5.554603253333333e-08;8.720727107733333e-06;2.6736187907936507e-08;4.197581501546031e-06;1.8878957555555552e-08;2.963996336222222e-06
AncientThought_s008;HEVC;540p;960;1600;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;1023546.0;0.52;6.3125;9.11805555555e-06;0.0014315347222213;8.004310866530938e-07;0.0001256676806045;6.694445749333334e-07;0.0001051027982645;3.2222636132698413e-07;5.058953872833651e-05;2.275304848888889e-07;3.572228612755556e-05
AncientThought_s008;HEVC;720p;1280;3400;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;2247212.0;0.85;7.249999999999999;1.711805555555e-05;0.0026875347222213;1.7573595550174318e-06;0.0002759054501377;1.469776524088889e-06;0.0002307549142819;7.074532516275133e-07;0.0001110701605055;4.995469045925926e-07;7.842886402103702e-05
AncientThought_s008;HEVC;1080p;1920;5800;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;3739056.0;1.94;7.375;3.974305555555e-05;0.0062396597222213;2.924007965579241e-06;0.0004590692505959;2.4455088042666666e-06;0.0003839448822698;1.1771062655492063e-06;0.0001848056836912;8.311783004444444e-07;0.0001304949931697
AncientThought_s008;HEVC;1440p;2560;8100;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;5296286.0;3.2;7.6875;6.833333333333124e-05;0.010728333333333;4.1417893853383895e-06;0.0006502609334981;3.464006434488889e-06;0.0005438490102147;1.6673436917608464e-06;0.0002617729596064;1.1773447619259258e-06;0.0001848431276223
AncientThought_s008;HEVC;2160p;3840;16800;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;11134294.0;6.74;8.0;0.0001497777777777;0.0235151111110989;8.707214962038856e-06;0.0013670327490401;7.282323133511111e-06;0.0011433247319612;3.5052289213820107e-06;0.0005503209406569;2.4751123180740737e-06;0.0003885926339376
AncientThought_s009;HEVC;360p;640;145;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;65119.0;0.22;6.125;3.7430555555555554e-06;0.0005876597222222;5.0924210471989364e-08;7.99510104410233e-06;4.2590720177777774e-08;6.686743067911111e-06;2.0500357016931212e-08;3.2185560516582004e-06;1.4475712518518522e-08;2.272686865407408e-06
AncientThought_s009;HEVC;540p;960;1600;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;1090362.0;0.52;6.812500000000001;9.840277777775e-06;0.0015449236111106;8.526823811584831e-07;0.0001338711338418;7.131452085333333e-07;0.0001119637977397;3.432609572888889e-07;5.389197029435555e-05;2.4238343422222226e-07;3.8054199172888894e-05
AncientThought_s009;HEVC;720p;1280;3400;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;2686238.0;1.12;7.75;2.411111111110625e-05;0.0037854444444436;2.100685656872122e-06;0.0003298076481289;1.7569190403555555e-06;0.0002758362893358;8.456646759386244e-07;0.0001327693541223;5.971407583703704e-07;9.375109906414816e-05
AncientThought_s009;HEVC;1080p;1920;5800;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;4861094.0;2.06;7.6875;4.398958333333125e-05;0.006906364583333;3.801461539337592e-06;0.000596829461676;3.179371524622222e-06;0.0004991613293656;1.5303392633925926e-06;0.0002402632643526;1.0806031921481482e-06;0.0001696547011672
